group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
MinCutCount,fast_karger_stein_count_PathHalving,60_0.6_4643,4643,elements,14204749.0,ns,3
MinCutCount,fast_karger_stein_count_PathHalving,60_0.6_4643,4643,elements,28364297.0,ns,6
MinCutCount,fast_karger_stein_count_PathHalving,60_0.6_4643,4643,elements,42582063.0,ns,9
MinCutCount,fast_karger_stein_count_PathHalving,60_0.6_4643,4643,elements,56673376.0,ns,12
MinCutCount,fast_karger_stein_count_PathHalving,60_0.6_4643,4643,elements,70854676.0,ns,15
MinCutCount,fast_karger_stein_count_PathHalving,60_0.6_4643,4643,elements,85077100.0,ns,18
MinCutCount,fast_karger_stein_count_PathHalving,60_0.6_4643,4643,elements,99328704.0,ns,21
MinCutCount,fast_karger_stein_count_PathHalving,60_0.6_4643,4643,elements,113591022.0,ns,24
MinCutCount,fast_karger_stein_count_PathHalving,60_0.6_4643,4643,elements,127573324.0,ns,27
MinCutCount,fast_karger_stein_count_PathHalving,60_0.6_4643,4643,elements,141951745.0,ns,30
MinCutCount,fast_karger_stein_count_PathHalving,60_0.6_4643,4643,elements,156034812.0,ns,33
MinCutCount,fast_karger_stein_count_PathHalving,60_0.6_4643,4643,elements,170350597.0,ns,36
MinCutCount,fast_karger_stein_count_PathHalving,60_0.6_4643,4643,elements,184535018.0,ns,39
MinCutCount,fast_karger_stein_count_PathHalving,60_0.6_4643,4643,elements,198578080.0,ns,42
MinCutCount,fast_karger_stein_count_PathHalving,60_0.6_4643,4643,elements,212905023.0,ns,45
MinCutCount,fast_karger_stein_count_PathHalving,60_0.6_4643,4643,elements,227402186.0,ns,48
MinCutCount,fast_karger_stein_count_PathHalving,60_0.6_4643,4643,elements,241476093.0,ns,51
MinCutCount,fast_karger_stein_count_PathHalving,60_0.6_4643,4643,elements,255250553.0,ns,54
MinCutCount,fast_karger_stein_count_PathHalving,60_0.6_4643,4643,elements,269693709.0,ns,57
MinCutCount,fast_karger_stein_count_PathHalving,60_0.6_4643,4643,elements,283630368.0,ns,60
MinCutCount,fast_karger_stein_count_PathHalving,60_0.6_4643,4643,elements,298515848.0,ns,63
MinCutCount,fast_karger_stein_count_PathHalving,60_0.6_4643,4643,elements,312196245.0,ns,66
MinCutCount,fast_karger_stein_count_PathHalving,60_0.6_4643,4643,elements,326328073.0,ns,69
MinCutCount,fast_karger_stein_count_PathHalving,60_0.6_4643,4643,elements,340473973.0,ns,72
MinCutCount,fast_karger_stein_count_PathHalving,60_0.6_4643,4643,elements,354705541.0,ns,75
MinCutCount,fast_karger_stein_count_PathHalving,60_0.6_4643,4643,elements,369092142.0,ns,78
MinCutCount,fast_karger_stein_count_PathHalving,60_0.6_4643,4643,elements,382760292.0,ns,81
MinCutCount,fast_karger_stein_count_PathHalving,60_0.6_4643,4643,elements,397535069.0,ns,84
MinCutCount,fast_karger_stein_count_PathHalving,60_0.6_4643,4643,elements,411190942.0,ns,87
MinCutCount,fast_karger_stein_count_PathHalving,60_0.6_4643,4643,elements,425666093.0,ns,90
