group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Clustering Coef,csr,32280_10_2,32280,elements,10916801.0,ns,23199
Clustering Coef,csr,32280_10_2,32280,elements,21608847.0,ns,46398
Clustering Coef,csr,32280_10_2,32280,elements,32416302.0,ns,69597
Clustering Coef,csr,32280_10_2,32280,elements,43155400.0,ns,92796
Clustering Coef,csr,32280_10_2,32280,elements,53947873.0,ns,115995
Clustering Coef,csr,32280_10_2,32280,elements,64726388.0,ns,139194
Clustering Coef,csr,32280_10_2,32280,elements,75494187.0,ns,162393
Clustering Coef,csr,32280_10_2,32280,elements,86336627.0,ns,185592
Clustering Coef,csr,32280_10_2,32280,elements,97096133.0,ns,208791
Clustering Coef,csr,32280_10_2,32280,elements,107914852.0,ns,231990
Clustering Coef,csr,32280_10_2,32280,elements,118729579.0,ns,255189
Clustering Coef,csr,32280_10_2,32280,elements,129564850.0,ns,278388
Clustering Coef,csr,32280_10_2,32280,elements,140347969.0,ns,301587
Clustering Coef,csr,32280_10_2,32280,elements,151128099.0,ns,324786
Clustering Coef,csr,32280_10_2,32280,elements,161920865.0,ns,347985
Clustering Coef,csr,32280_10_2,32280,elements,172963550.0,ns,371184
Clustering Coef,csr,32280_10_2,32280,elements,183892615.0,ns,394383
Clustering Coef,csr,32280_10_2,32280,elements,195085243.0,ns,417582
Clustering Coef,csr,32280_10_2,32280,elements,206037797.0,ns,440781
Clustering Coef,csr,32280_10_2,32280,elements,215997712.0,ns,463980
Clustering Coef,csr,32280_10_2,32280,elements,226863452.0,ns,487179
Clustering Coef,csr,32280_10_2,32280,elements,238225015.0,ns,510378
Clustering Coef,csr,32280_10_2,32280,elements,246857299.0,ns,533577
Clustering Coef,csr,32280_10_2,32280,elements,252532772.0,ns,556776
Clustering Coef,csr,32280_10_2,32280,elements,263318275.0,ns,579975
Clustering Coef,csr,32280_10_2,32280,elements,273581859.0,ns,603174
Clustering Coef,csr,32280_10_2,32280,elements,285502424.0,ns,626373
Clustering Coef,csr,32280_10_2,32280,elements,294590063.0,ns,649572
Clustering Coef,csr,32280_10_2,32280,elements,305289824.0,ns,672771
Clustering Coef,csr,32280_10_2,32280,elements,323372494.0,ns,695970
